sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
馬祖,連江縣,55,細懸浮微粒,普通,0.9,0.15,33,33.2,21,10,7.8,9.5,1.6,2.6,188,"2024/02/19 16:00:00",0.2,17.1,28,1,119.93149378,26.15188416,75
金門,金門縣,57,細懸浮微粒,普通,0.4,0.17,30,28.3,5,9,7.4,8.6,1.2,2.6,180,"2024/02/19 16:00:00",0.2,17.8,24,1,118.312256,24.432133,77
馬公,澎湖縣,24,,良好,0.3,0.18,25.4,26.5,12,4,9.5,12.1,2.6,1.7,185,"2024/02/19 16:00:00",0.1,3.5,12,0,119.566158,23.569031,78
關山,臺東縣,23,,良好,0.9,0.11,28.9,25.4,22,7,2.4,3,0.6,2.2,202,"2024/02/19 16:00:00",0.1,3.6,17,0,121.161933,23.045083,80
麥寮,雲林縣,45,,良好,1.1,0.13,33.9,31.5,15,9,4,5.2,1.1,3.4,245,"2024/02/19 16:00:00",0.2,14,28,1,120.251825,23.753506,83
富貴角,新北市,42,,良好,0.7,0.2,55.3,37.5,22,11,1.3,1.2,0,0.5,83,"2024/02/19 16:00:00",0.2,13,28,0,121.53656894,25.29681695,84
大城,彰化縣,44,,良好,1.2,0.06,32.3,30.5,15,9,3.5,6.2,2.7,4,259,"2024/02/19 16:00:00",0.1,13.6,27,1,120.26964167,23.85493056,85
彰化(員林),彰化縣,50,,良好,1.9,0.28,24.5,29.4,52,17,17.1,24.8,7.6,1,326,"2024/02/19 16:00:00",0.2,15.4,44,2,120.56373,23.96117,201
高雄(湖內),高雄市,27,,良好,0.4,0.14,25.4,26.7,38,4,6.4,9.8,3.4,2.2,228,"2024/02/19 16:00:00",0.2,3.8,27,1,120.24535,22.87985556,202
臺南(麻豆),臺南市,30,,良好,0.4,0.15,27.8,28.1,21,8,7.3,10.1,2.7,1.7,212,"2024/02/19 16:00:00",0.1,9.3,23,1,120.24583056,23.17904722,203
屏東(琉球),屏東縣,27,,良好,0.8,0.08,31.3,29.7,21,4,2.7,3.8,1,0.8,144,"2024/02/19 16:00:00",0,7,22,1,120.37722,22.35222,204
屏東縣（泰武）,屏東縣,36,,良好,0.2,0.17,38.6,39.5,12,,1.9,1.9,0,1.2,158,"2024/02/19 16:00:00",0.1,,12,0,120.66501,22.58564,310
新北(樹林),新北市,68,細懸浮微粒,普通,1.5,0.33,46.1,30.5,40,23,18.5,19.8,1.3,0.6,353,"2024/02/19 16:00:00",0.5,22.6,38,0,121.38352778,24.94902778,311
屏東(枋山),屏東縣,31,,良好,0.1,0.08,36.2,33.2,23,10,1.4,1.4,0,1.6,230,"2024/02/19 16:00:00",0,7.7,19,0,120.651472,22.260899,313
